Accession,Description,Sum(Coverage),Sum(# Proteins),Sum(# Unique Peptides),Sum(# Peptides),Sum(# PSMs),# AAs,MW [kDa],calc. pI
P61963,DDB1- and CUL4-associated factor 7 OS=Mus musculus GN=Dcaf7 PE=2 SV=1 - [DCAF7_MOUSE],40.64%,1,9,9,56,342,38.9,5.52
P63168,"Dynein light chain 1, cytoplasmic OS=Mus musculus GN=Dynll1 PE=1 SV=1 - [DYL1_MOUSE]",68.54%,2,9,11,161,89,10.4,7.4
Q9D0M5,"Dynein light chain 2, cytoplasmic OS=Mus musculus GN=Dynll2 PE=1 SV=1 - [DYL2_MOUSE]",73.03%,2,10,12,197,89,10.3,7.37
Q921E6,Polycomb protein EED OS=Mus musculus GN=Eed PE=1 SV=1 - [EED_MOUSE],26.30%,1,10,10,22,441,50.2,7.03
Q9CXU9,Eukaryotic translation initiation factor 1b OS=Mus musculus GN=Eif1b PE=2 SV=2 - [EIF1B_MOUSE],66.37%,3,1,7,45,113,12.8,7.37
P60229,Eukaryotic translation initiation factor 3 subunit E OS=Mus musculus GN=Eif3e PE=1 SV=1 - [EIF3E_MOUSE],65.39%,1,30,30,192,445,52.2,6.04
Q9JIX0,Transcription and mRNA export factor ENY2 OS=Mus musculus GN=Eny2 PE=2 SV=1 - [ENY2_MOUSE],60.40%,1,8,8,37,101,11.5,9.33
Q8BWY3,Eukaryotic peptide chain release factor subunit 1 OS=Mus musculus GN=Etf1 PE=1 SV=4 - [ERF1_MOUSE],62.01%,3,27,27,144,437,49,5.71
P84089,Enhancer of rudimentary homolog OS=Mus musculus GN=Erh PE=1 SV=1 - [ERH_MOUSE],46.15%,3,8,8,109,104,12.3,5.92
P62874,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 OS=Mus musculus GN=Gnb1 PE=1 SV=3 - [GBB1_MOUSE],72.35%,3,4,21,464,340,37.4,6
P62880,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 OS=Mus musculus GN=Gnb2 PE=1 SV=3 - [GBB2_MOUSE],83.53%,5,7,20,470,340,37.3,6
Q80SZ7,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5 OS=Mus musculus GN=Gng5 PE=3 SV=2 - [GBG5_MOUSE],76.47%,2,6,6,43,68,7.3,9.85
P68040,Guanine nucleotide-binding protein subunit beta-2-like 1 OS=Mus musculus GN=Gnb2l1 PE=1 SV=3 - [GBLP_MOUSE],93.69%,1,29,29,437,317,35.1,7.69
Q9DCD6,Gamma-aminobutyric acid receptor-associated protein OS=Mus musculus GN=Gabarap PE=1 SV=2 - [GBRAP_MOUSE],41.03%,2,3,5,17,117,13.9,8.79
Q8R3R8,Gamma-aminobutyric acid receptor-associated protein-like 1 OS=Mus musculus GN=Gabarapl1 PE=1 SV=2 - [GBRL1_MOUSE],35.04%,1,2,4,10,117,14,8.73
B2RSH2,Guanine nucleotide-binding protein G(i) subunit alpha-1 OS=Mus musculus GN=Gnai1 PE=2 SV=1 - [GNAI1_MOUSE],37.29%,7,1,17,254,354,40.3,5.97
P0C0S6,Histone H2A.Z OS=Mus musculus GN=H2afz PE=1 SV=2 - [H2AZ_MOUSE],58.59%,5,6,9,465,128,13.5,10.58
P10854,Histone H2B type 1-M OS=Mus musculus GN=Hist1h2bm PE=1 SV=2 - [H2B1M_MOUSE],73.02%,12,4,17,1748,126,13.9,10.32
P68433,Histone H3.1 OS=Mus musculus GN=Hist1h3a PE=1 SV=2 - [H31_MOUSE],74.26%,1,1,17,724,136,15.4,11.12
P84228,Histone H3.2 OS=Mus musculus GN=Hist1h3b PE=1 SV=2 - [H32_MOUSE],74.26%,1,2,18,760,136,15.4,11.27
P62806,Histone H4 OS=Mus musculus GN=Hist1h4a PE=1 SV=2 - [H4_MOUSE],59.22%,1,18,18,2108,103,11.4,11.36
P61979,Heterogeneous nuclear ribonucleoprotein K OS=Mus musculus GN=Hnrnpk PE=1 SV=1 - [HNRPK_MOUSE],69.76%,7,14,40,952,463,50.9,5.54
Q8BMJ3,"Eukaryotic translation initiation factor 1A, X-chromosomal OS=Mus musculus GN=Eif1ax PE=2 SV=3 - [IF1AX_MOUSE]",53.47%,4,4,11,85,144,16.5,5.24
P60843,Eukaryotic initiation factor 4A-I OS=Mus musculus GN=Eif4a1 PE=1 SV=1 - [IF4A1_MOUSE],79.80%,1,17,37,528,406,46.1,5.48
P10630,Eukaryotic initiation factor 4A-II OS=Mus musculus GN=Eif4a2 PE=2 SV=2 - [IF4A2_MOUSE],78.38%,5,16,36,475,407,46.4,5.48
Q8BGY2,Eukaryotic translation initiation factor 5A-2 OS=Mus musculus GN=Eif5a2 PE=2 SV=3 - [IF5A2_MOUSE],41.83%,1,11,11,221,153,16.8,5.58
Q9CXY6,Interleukin enhancer-binding factor 2 OS=Mus musculus GN=Ilf2 PE=1 SV=1 - [ILF2_MOUSE],75.64%,1,24,24,244,390,43,5.26
Q6PHZ2,Calcium/calmodulin-dependent protein kinase type II subunit delta OS=Mus musculus GN=Camk2d PE=1 SV=1 - [KCC2D_MOUSE],59.92%,17,19,26,175,499,56.3,7.25
O88952,Protein lin-7 homolog C OS=Mus musculus GN=Lin7c PE=1 SV=2 - [LIN7C_MOUSE],73.60%,5,16,18,227,197,21.8,8.43
Q9D0R8,Protein LSM12 homolog OS=Mus musculus GN=Lsm12 PE=1 SV=1 - [LSM12_MOUSE],49.23%,2,7,7,35,195,21.7,7.74
O35900,U6 snRNA-associated Sm-like protein LSm2 OS=Mus musculus GN=Lsm2 PE=3 SV=1 - [LSM2_MOUSE],89.47%,1,1,10,81,95,10.8,6.52
P62311,U6 snRNA-associated Sm-like protein LSm3 OS=Mus musculus GN=Lsm3 PE=3 SV=2 - [LSM3_MOUSE],27.45%,1,4,4,36,102,11.8,4.7
P62313,U6 snRNA-associated Sm-like protein LSm6 OS=Mus musculus GN=Lsm6 PE=3 SV=1 - [LSM6_MOUSE],91.25%,1,8,8,39,80,9.1,9.58
P61327,Protein mago nashi homolog OS=Mus musculus GN=Magoh PE=2 SV=1 - [MGN_MOUSE],84.93%,6,14,14,69,146,17.2,6.11
Q3THE2,Myosin regulatory light chain 12B OS=Mus musculus GN=Myl12b PE=1 SV=2 - [ML12B_MOUSE],66.28%,9,3,15,327,172,19.8,4.84
Q8BPB0,MOB kinase activator 1B OS=Mus musculus GN=Mob1b PE=1 SV=3 - [MOB1B_MOUSE],22.22%,3,6,6,71,216,25.1,6.73
Q60605,Myosin light polypeptide 6 OS=Mus musculus GN=Myl6 PE=1 SV=3 - [MYL6_MOUSE],88.08%,3,12,16,710,151,16.9,4.65
P61600,N-alpha-acetyltransferase 20 OS=Mus musculus GN=Naa20 PE=2 SV=1 - [NAA20_MOUSE],42.13%,6,6,6,12,178,20.4,5.03
Q6ZWM4,U6 snRNA-associated Sm-like protein LSm8 OS=Mus musculus GN=Lsm8 PE=3 SV=3 - [LSM8_MOUSE],68.75%,1,5,5,53,96,10.4,4.48
Q91X97,Neurocalcin-delta OS=Mus musculus GN=Ncald PE=1 SV=4 - [NCALD_MOUSE],80.83%,4,12,16,77,193,22.2,5.35
Q9D0T1,NHP2-like protein 1 OS=Mus musculus GN=Nhp2l1 PE=1 SV=4 - [NH2L1_MOUSE],52.34%,2,8,8,92,128,14.2,8.46
Q9CQS2,H/ACA ribonucleoprotein complex subunit 3 OS=Mus musculus GN=Nop10 PE=3 SV=1 - [NOP10_MOUSE],76.56%,1,5,5,22,64,7.7,9.99
P61971,Nuclear transport factor 2 OS=Mus musculus GN=Nutf2 PE=2 SV=1 - [NTF2_MOUSE],69.29%,1,5,5,78,127,14.5,5.38
P60335,Poly(rC)-binding protein 1 OS=Mus musculus GN=Pcbp1 PE=1 SV=1 - [PCBP1_MOUSE],85.11%,5,13,20,482,356,37.5,7.09
O35129,Prohibitin-2 OS=Mus musculus GN=Phb2 PE=1 SV=1 - [PHB2_MOUSE],75.59%,3,22,22,174,299,33.3,9.83
P83870,PHD finger-like domain-containing protein 5A OS=Mus musculus GN=Phf5a PE=1 SV=1 - [PHF5A_MOUSE],82.73%,1,10,10,51,110,12.4,8.41
Q6PEB6,MOB-like protein phocein OS=Mus musculus GN=Mob4 PE=1 SV=1 - [PHOCN_MOUSE],73.78%,3,2,16,85,225,26,5.78
P59708,Splicing factor 3B subunit 6 OS=Mus musculus GN=Sf3b6 PE=1 SV=1 - [SF3B6_MOUSE],47.20%,1,6,6,40,125,14.6,9.38
P62141,Serine/threonine-protein phosphatase PP1-beta catalytic subunit OS=Mus musculus GN=Ppp1cb PE=1 SV=3 - [PP1B_MOUSE],74.31%,1,9,22,350,327,37.2,6.19
P62715,Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform OS=Mus musculus GN=Ppp2cb PE=1 SV=1 - [PP2AB_MOUSE],56.96%,1,2,18,201,309,35.6,5.43
P97470,Serine/threonine-protein phosphatase 4 catalytic subunit OS=Mus musculus GN=Ppp4c PE=1 SV=2 - [PP4C_MOUSE],46.25%,1,10,12,48,307,35.1,5.06
P62334,26S protease regulatory subunit 10B OS=Mus musculus GN=Psmc6 PE=1 SV=1 - [PRS10_MOUSE],73.26%,1,30,30,252,389,44.1,7.49
P62192,26S protease regulatory subunit 4 OS=Mus musculus GN=Psmc1 PE=1 SV=1 - [PRS4_MOUSE],71.36%,1,35,37,256,440,49.2,6.21
P62196,26S protease regulatory subunit 8 OS=Mus musculus GN=Psmc5 PE=1 SV=1 - [PRS8_MOUSE],68.97%,2,27,29,217,406,45.6,7.55
Q9Z2U1,Proteasome subunit alpha type-5 OS=Mus musculus GN=Psma5 PE=1 SV=1 - [PSA5_MOUSE],60.17%,2,12,12,155,241,26.4,4.79
O35593,26S proteasome non-ATPase regulatory subunit 14 OS=Mus musculus GN=Psmd14 PE=1 SV=2 - [PSDE_MOUSE],68.39%,1,16,16,121,310,34.6,6.52
P61290,Proteasome activator complex subunit 3 OS=Mus musculus GN=Psme3 PE=1 SV=1 - [PSME3_MOUSE],44.88%,3,12,12,109,254,29.5,5.95
Q9QYS9,Protein quaking OS=Mus musculus GN=Qki PE=1 SV=1 - [QKI_MOUSE],58.06%,1,21,22,233,341,37.6,8.56
P61027,Ras-related protein Rab-10 OS=Mus musculus GN=Rab10 PE=1 SV=1 - [RAB10_MOUSE],83.00%,3,19,25,304,200,22.5,8.38
Q91V41,Ras-related protein Rab-14 OS=Mus musculus GN=Rab14 PE=1 SV=3 - [RAB14_MOUSE],86.98%,4,22,24,291,215,23.9,6.21
Q923S9,Ras-related protein Rab-30 OS=Mus musculus GN=Rab30 PE=2 SV=1 - [RAB30_MOUSE],28.08%,8,3,7,81,203,23,4.97
Q6PHN9,Ras-related protein Rab-35 OS=Mus musculus GN=Rab35 PE=1 SV=1 - [RAB35_MOUSE],79.60%,8,15,22,251,201,23,8.29
P61021,Ras-related protein Rab-5B OS=Mus musculus GN=Rab5b PE=1 SV=1 - [RAB5B_MOUSE],47.91%,2,5,10,163,215,23.7,8.13
P51150,Ras-related protein Rab-7a OS=Mus musculus GN=Rab7a PE=1 SV=2 - [RAB7A_MOUSE],87.44%,4,24,25,204,207,23.5,6.7
P63001,Ras-related C3 botulinum toxin substrate 1 OS=Mus musculus GN=Rac1 PE=1 SV=1 - [RAC1_MOUSE],50.52%,11,13,14,304,192,21.4,8.5
P62827,GTP-binding nuclear protein Ran OS=Mus musculus GN=Ran PE=1 SV=3 - [RAN_MOUSE],51.85%,3,17,17,213,216,24.4,7.49
P62835,Ras-related protein Rap-1A OS=Mus musculus GN=Rap1a PE=2 SV=1 - [RAP1A_MOUSE],80.43%,1,7,21,243,184,21,6.67
Q99JI6,Ras-related protein Rap-1b OS=Mus musculus GN=Rap1b PE=2 SV=2 - [RAP1B_MOUSE],84.24%,1,7,21,263,184,20.8,5.78
Q61411,GTPase HRas OS=Mus musculus GN=Hras PE=1 SV=2 - [RASH_MOUSE],69.84%,5,4,12,84,189,21.3,5.31
P62492,Ras-related protein Rab-11A OS=Mus musculus GN=Rab11a PE=1 SV=3 - [RB11A_MOUSE],79.17%,9,2,16,212,216,24.4,6.57
Q60972,Histone-binding protein RBBP4 OS=Mus musculus GN=Rbbp4 PE=1 SV=5 - [RBBP4_MOUSE],55.29%,3,9,16,143,425,47.6,4.89
Q8BHS3,Pre-mRNA-splicing factor RBM22 OS=Mus musculus GN=Rbm22 PE=1 SV=1 - [RBM22_MOUSE],35.71%,1,13,13,51,420,46.9,8.54
A0A023T672,RNA-binding protein 8A OS=Mus musculus GN=RBM8 PE=1 SV=1 - [A0A023T672_MOUSE],43.10%,2,7,7,30,174,19.9,5.72
P62878,E3 ubiquitin-protein ligase RBX1 OS=Mus musculus GN=Rbx1 PE=1 SV=1 - [RBX1_MOUSE],12.96%,1,3,3,17,108,12.3,6.96
P62746,Rho-related GTP-binding protein RhoB OS=Mus musculus GN=Rhob PE=1 SV=1 - [RHOB_MOUSE],54.08%,1,10,13,102,196,22.1,5.24
Q62159,Rho-related GTP-binding protein RhoC OS=Mus musculus GN=Rhoc PE=1 SV=2 - [RHOC_MOUSE],55.44%,2,6,16,246,193,22,6.58
P84096,Rho-related GTP-binding protein RhoG OS=Mus musculus GN=Rhog PE=2 SV=1 - [RHOG_MOUSE],69.63%,7,12,13,126,191,21.3,8.12
Q5XJF6,Ribosomal protein OS=Mus musculus GN=Rpl10a PE=1 SV=1 - [Q5XJF6_MOUSE],69.12%,3,18,18,219,217,24.8,9.94
Q6ZWV3,60S ribosomal protein L10 OS=Mus musculus GN=Rpl10 PE=1 SV=3 - [RL10_MOUSE],64.49%,4,18,18,246,214,24.6,10.08
Q9CXW4,60S ribosomal protein L11 OS=Mus musculus GN=Rpl11 PE=1 SV=4 - [RL11_MOUSE],60.67%,4,15,15,141,178,20.2,9.6
P62751,60S ribosomal protein L23a OS=Mus musculus GN=Rpl23a PE=1 SV=1 - [RL23A_MOUSE],58.33%,2,16,16,184,156,17.7,10.45
P62830,60S ribosomal protein L23 OS=Mus musculus GN=Rpl23 PE=1 SV=1 - [RL23_MOUSE],66.43%,2,8,8,124,140,14.9,10.51
Q8BP67,60S ribosomal protein L24 OS=Mus musculus GN=Rpl24 PE=1 SV=2 - [RL24_MOUSE],61.15%,2,17,17,166,157,17.8,11.25
P61255,60S ribosomal protein L26 OS=Mus musculus GN=Rpl26 PE=1 SV=1 - [RL26_MOUSE],60.69%,4,13,15,156,145,17.2,10.55
P61358,60S ribosomal protein L27 OS=Mus musculus GN=Rpl27 PE=1 SV=2 - [RL27_MOUSE],73.53%,3,16,16,173,136,15.8,10.56
P62889,60S ribosomal protein L30 OS=Mus musculus GN=Rpl30 PE=2 SV=2 - [RL30_MOUSE],80.00%,1,12,12,140,115,12.8,9.63
P62900,60S ribosomal protein L31 OS=Mus musculus GN=Rpl31 PE=1 SV=1 - [RL31_MOUSE],53.60%,1,9,9,61,125,14.5,10.54
P62911,60S ribosomal protein L32 OS=Mus musculus GN=Rpl32 PE=1 SV=2 - [RL32_MOUSE],51.85%,2,10,13,104,135,15.8,11.33
P83882,60S ribosomal protein L36a OS=Mus musculus GN=Rpl36a PE=1 SV=2 - [RL36A_MOUSE],44.34%,2,12,12,66,106,12.4,10.58
Q6ZWZ4,60S ribosomal protein L36 OS=Mus musculus GN=Rpl36 PE=2 SV=1 - [Q6ZWZ4_MOUSE],44.76%,4,8,9,86,105,12.2,11.59
P61514,60S ribosomal protein L37a OS=Mus musculus GN=Rpl37a PE=2 SV=2 - [RL37A_MOUSE],73.91%,1,9,9,95,92,10.3,10.43
Q9D823,60S ribosomal protein L37 OS=Mus musculus GN=Rpl37 PE=2 SV=3 - [RL37_MOUSE],44.33%,1,7,7,36,97,11.1,11.74
P62892,60S ribosomal protein L39 OS=Mus musculus GN=Rpl39 PE=2 SV=2 - [RL39_MOUSE],19.61%,1,1,1,5,51,6.4,12.56
P62918,60S ribosomal protein L8 OS=Mus musculus GN=Rpl8 PE=1 SV=2 - [RL8_MOUSE],68.09%,1,24,24,232,257,28,11.03
Q80YQ8,Protein RMD5 homolog A OS=Mus musculus GN=Rmnd5a PE=2 SV=2 - [RMD5A_MOUSE],39.39%,3,8,9,25,391,44,6.06
Q99M28,RNA-binding protein with serine-rich domain 1 OS=Mus musculus GN=Rnps1 PE=2 SV=1 - [RNPS1_MOUSE],24.26%,3,7,7,41,305,34.2,11.84
Q923G2,"DNA-directed RNA polymerases I, II, and III subunit RPABC3 OS=Mus musculus GN=Polr2h PE=2 SV=3 - [RPAB3_MOUSE]",40.00%,1,6,6,28,150,17.1,4.68
P62488,DNA-directed RNA polymerase II subunit RPB7 OS=Mus musculus GN=Polr2g PE=2 SV=1 - [RPB7_MOUSE],38.95%,1,6,6,24,172,19.3,5.54
P60898,DNA-directed RNA polymerase II subunit RPB9 OS=Mus musculus GN=Polr2i PE=2 SV=1 - [RPB9_MOUSE],71.20%,4,6,6,26,125,14.5,5.14
Q80X95,Ras-related GTP-binding protein A OS=Mus musculus GN=Rraga PE=2 SV=1 - [RRAGA_MOUSE],40.58%,1,9,13,50,313,36.5,7.72
P62071,Ras-related protein R-Ras2 OS=Mus musculus GN=Rras2 PE=1 SV=1 - [RRAS2_MOUSE],65.20%,1,15,18,333,204,23.4,6.01
P62281,40S ribosomal protein S11 OS=Mus musculus GN=Rps11 PE=1 SV=3 - [RS11_MOUSE],60.76%,1,13,13,179,158,18.4,10.3
Q6ZWZ6,40S ribosomal protein S12 OS=Mus musculus GN=Rps12 PE=1 SV=1 - [Q6ZWZ6_MOUSE],65.15%,2,14,14,195,132,14.5,7.21
P62301,40S ribosomal protein S13 OS=Mus musculus GN=Rps13 PE=1 SV=2 - [RS13_MOUSE],63.58%,1,16,16,228,151,17.2,10.54
P62264,40S ribosomal protein S14 OS=Mus musculus GN=Rps14 PE=2 SV=3 - [RS14_MOUSE],43.05%,3,11,11,113,151,16.3,10.05
P62245,40S ribosomal protein S15a OS=Mus musculus GN=Rps15a PE=1 SV=2 - [RS15A_MOUSE],80.00%,4,14,14,159,130,14.8,10.13
P14131,40S ribosomal protein S16 OS=Mus musculus GN=Rps16 PE=2 SV=4 - [RS16_MOUSE],61.64%,1,14,14,166,146,16.4,10.21
P62270,40S ribosomal protein S18 OS=Mus musculus GN=Rps18 PE=1 SV=3 - [RS18_MOUSE],61.18%,3,17,17,140,152,17.7,10.99
P60867,40S ribosomal protein S20 OS=Mus musculus GN=Rps20 PE=1 SV=1 - [RS20_MOUSE],42.86%,2,6,7,85,119,13.4,9.94
P62267,40S ribosomal protein S23 OS=Mus musculus GN=Rps23 PE=1 SV=3 - [RS23_MOUSE],46.15%,1,9,9,98,143,15.8,10.49
P62849,40S ribosomal protein S24 OS=Mus musculus GN=Rps24 PE=2 SV=1 - [RS24_MOUSE],54.14%,1,10,10,151,133,15.4,10.78
P62852,40S ribosomal protein S25 OS=Mus musculus GN=Rps25 PE=1 SV=1 - [RS25_MOUSE],48.00%,1,8,8,139,125,13.7,10.11
P62855,40S ribosomal protein S26 OS=Mus musculus GN=Rps26 PE=2 SV=3 - [RS26_MOUSE],37.39%,1,4,4,70,115,13,11
Q6ZWY3,40S ribosomal protein S27-like OS=Mus musculus GN=Rps27l PE=2 SV=3 - [RS27L_MOUSE],40.48%,3,2,4,81,84,9.5,9.45
Q6ZWU9,40S ribosomal protein S27 OS=Mus musculus GN=Rps27 PE=1 SV=3 - [RS27_MOUSE],40.48%,1,3,5,110,84,9.5,9.45
P62858,40S ribosomal protein S28 OS=Mus musculus GN=Rps28 PE=2 SV=1 - [RS28_MOUSE],72.46%,3,7,7,109,69,7.8,10.7
P62274,40S ribosomal protein S29 OS=Mus musculus GN=Rps29 PE=2 SV=2 - [RS29_MOUSE],41.07%,2,6,6,41,56,6.7,10.13
P62862,40S ribosomal protein S30 OS=Mus musculus GN=Fau PE=1 SV=1 - [RS30_MOUSE],18.64%,2,2,2,48,59,6.6,12.15
P62702,"40S ribosomal protein S4, X isoform OS=Mus musculus GN=Rps4x PE=2 SV=2 - [RS4X_MOUSE]",81.75%,1,13,31,321,263,29.6,10.15
P62754,40S ribosomal protein S6 OS=Mus musculus GN=Rps6 PE=1 SV=1 - [RS6_MOUSE],59.44%,1,26,26,208,249,28.7,10.84
P62082,40S ribosomal protein S7 OS=Mus musculus GN=Rps7 PE=2 SV=1 - [RS7_MOUSE],73.71%,2,21,21,296,194,22.1,10.1
P62242,40S ribosomal protein S8 OS=Mus musculus GN=Rps8 PE=1 SV=2 - [RS8_MOUSE],61.54%,1,19,19,264,208,24.2,10.32
Q6ZWN5,40S ribosomal protein S9 OS=Mus musculus GN=Rps9 PE=1 SV=3 - [RS9_MOUSE],63.92%,6,23,24,227,194,22.6,10.65
P62305,Small nuclear ribonucleoprotein E OS=Mus musculus GN=Snrpe PE=2 SV=1 - [RUXE_MOUSE],69.57%,3,5,5,62,92,10.8,9.44
P62307,Small nuclear ribonucleoprotein F OS=Mus musculus GN=Snrpf PE=2 SV=1 - [RUXF_MOUSE],74.42%,1,6,6,65,86,9.7,4.67
P62309,Small nuclear ribonucleoprotein G OS=Mus musculus GN=Snrpg PE=1 SV=1 - [RUXG_MOUSE],36.84%,1,4,4,27,76,8.5,8.88
P61620,Protein transport protein Sec61 subunit alpha isoform 1 OS=Mus musculus GN=Sec61a1 PE=2 SV=2 - [S61A1_MOUSE],26.05%,3,13,13,71,476,52.2,8.06
Q80SW1,Putative adenosylhomocysteinase 2 OS=Mus musculus GN=Ahcyl1 PE=1 SV=1 - [SAHH2_MOUSE],58.49%,6,13,32,252,530,58.9,6.89
P60060,Protein transport protein Sec61 subunit gamma OS=Mus musculus GN=Sec61g PE=2 SV=1 - [SC61G_MOUSE],30.88%,2,2,2,7,68,7.7,9.99
G5E866,Splicing factor 3B subunit 1 OS=Mus musculus GN=Sf3b1 PE=1 SV=1 - [G5E866_MOUSE],56.75%,3,75,75,396,1304,145.7,7.09
